"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.parisnanterre.fr/193.50.151.174","443","INFO","HTTP","",""
"pre_128cipher","www.parisnanterre.fr/193.50.151.174","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.parisnanterre.fr/193.50.151.174","443","OK","not offered","",""
"SSLv3","www.parisnanterre.fr/193.50.151.174","443","OK","not offered","",""
"TLS1","www.parisnanterre.fr/193.50.151.174","443","LOW","offered (deprecated)","",""
"TLS1_1","www.parisnanterre.fr/193.50.151.174","443","LOW","offered (deprecated)","",""
"TLS1_2","www.parisnanterre.fr/193.50.151.174","443","OK","offered","",""
"TLS1_3","www.parisnanterre.fr/193.50.151.174","443","OK","offered with final","",""
"ALPN","www.parisnanterre.fr/193.50.151.174","443","INFO","http/1.1","",""
"cipherlist_NULL","www.parisnanterre.fr/193.50.151.174","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.parisnanterre.fr/193.50.151.174","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.parisnanterre.fr/193.50.151.174","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.parisnanterre.fr/193.50.151.174","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.parisnanterre.fr/193.50.151.174","443","MEDIUM","offered","","CWE-310"
"cipherlist_AVERAGE","www.parisnanterre.fr/193.50.151.174","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.parisnanterre.fr/193.50.151.174","443","OK","offered","",""
"cipherlist_STRONG","www.parisnanterre.fr/193.50.151.174","443","OK","offered","",""
"cipher_order-tls1","www.parisnanterre.fr/193.50.151.174","443","OK","server","",""
"cipherorder_TLSv1","www.parisnanterre.fr/193.50.151.174","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipher_order-tls1_1","www.parisnanterre.fr/193.50.151.174","443","OK","server","",""
"cipherorder_TLSv1_1","www.parisnanterre.fr/193.50.151.174","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipher_order-tls1_2","www.parisnanterre.fr/193.50.151.174","443","OK","server","",""
"cipherorder_TLSv1_2","www.parisnanterre.fr/193.50.151.174","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.parisnanterre.fr/193.50.151.174","443","OK","server","",""
"FS","www.parisnanterre.fr/193.50.151.174","443","OK","offered","",""
"FS_ciphers","www.parisnanterre.fr/193.50.151.174","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.parisnanterre.fr/193.50.151.174","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.parisnanterre.fr/193.50.151.174","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.parisnanterre.fr/193.50.151.174","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.parisnanterre.fr/193.50.151.174","443","INFO","yes","",""
"sessionresumption_ticket","www.parisnanterre.fr/193.50.151.174","443","INFO","supported","",""
