"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","unif.fr/192.33.182.249","443","INFO","HTTP","",""
"pre_128cipher","unif.fr/192.33.182.249","443","INFO","No 128 cipher limit bug","",""
"SSLv2","unif.fr/192.33.182.249","443","OK","not offered","",""
"SSLv3","unif.fr/192.33.182.249","443","OK","not offered","",""
"TLS1","unif.fr/192.33.182.249","443","LOW","offered (deprecated)","",""
"TLS1_1","unif.fr/192.33.182.249","443","LOW","offered (deprecated)","",""
"TLS1_2","unif.fr/192.33.182.249","443","OK","offered","",""
"TLS1_3","unif.fr/192.33.182.249","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","unif.fr/192.33.182.249","443","INFO","not offered","",""
"cipherlist_NULL","unif.fr/192.33.182.249","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","unif.fr/192.33.182.249","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","unif.fr/192.33.182.249","443","OK","not offered","","CWE-327"
"cipherlist_LOW","unif.fr/192.33.182.249","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","unif.fr/192.33.182.249","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","unif.fr/192.33.182.249","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","unif.fr/192.33.182.249","443","OK","offered","",""
"cipherlist_STRONG","unif.fr/192.33.182.249","443","OK","offered","",""
"cipher_order","unif.fr/192.33.182.249","443","HIGH","NOT a cipher order configured","",""
"protocol_negotiated","unif.fr/192.33.182.249","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","unif.fr/192.33.182.249","443","LOW","DHE-RSA-AES256-SHA256, 2048 bit DH (cbc)  (matching cipher in list missing)","",""
"cipher-tls1_xc014","unif.fr/192.33.182.249","443","LOW","TLSv1   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x39","unif.fr/192.33.182.249","443","LOW","TLSv1   x39     DHE-RSA-AES256-SHA                DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x88","unif.fr/192.33.182.249","443","LOW","TLSv1   x88     DHE-RSA-CAMELLIA256-SHA           DH 2048    Camellia    256      TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA","",""
"cipher-tls1_x35","unif.fr/192.33.182.249","443","LOW","TLSv1   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x84","unif.fr/192.33.182.249","443","LOW","TLSv1   x84     CAMELLIA256-SHA                   RSA        Camellia    256      TLS_RSA_WITH_CAMELLIA_256_CBC_SHA","",""
